1,1,1,Pac-Man
1,0,1,Pac-Man
1,0,0,Pac-Man
1,1,1,Pac-Man
1,0,0,Pac-Man
1,0,0,Pac-Man
1,1,0,Pac-Man
1,0,1,Pac-Man
1,0,0,Pac-Man
1,1,1,Pac-Man
1,1,1,Pac-Man
1,1,1,Pac-Man
1,0,0,Pac-Man
1,0,0,Pac-Man
1,0,1,Pac-Man
1,1,1,Pac-Man
1,0,0,Pac-Man
1,0,1,Pac-Man
1,0,1,Pac-Man
1,1,1,Pac-Man
1,1,0,Pac-Man
0,1,1,Bandai Namco
1,1,1,Bandai Namco
0,1,0,Bandai Namco
1,1,1,Bandai Namco
1,1,1,Bandai Namco
0,1,0,Bandai Namco
0,1,0,Bandai Namco
0,1,0,Bandai Namco
0,1,0,Bandai Namco
1,1,1,Bandai Namco
0,0,0,Bandai Namco
1,1,1,Bandai Namco
0,1,1,Bandai Namco
0,1,0,Bandai Namco
1,1,1,Bandai Namco
0,1,1,Bandai Namco
0,1,0,Bandai Namco
0,1,1,Bandai Namco
1,1,1,Bandai Namco
0,1,0,Bandai Namco
0,1,0,Bandai Namco
0,1,0,Bandai Namco
0,1,1,Bandai Namco
0,1,0,Bandai Namco
1,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
1,1,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
1,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
1,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,0,1,Video Games
0,1,1,Video Games
0,0,1,Video Games
0,1,1,Video Games
