938,11,151,Pac-Man
63,0,5,Pac-Man
45,0,0,Pac-Man
44,5,5,Pac-Man
31,0,0,Pac-Man
46,0,0,Pac-Man
32,3,0,Pac-Man
38,0,10,Pac-Man
9,0,0,Pac-Man
97,8,14,Pac-Man
395,6,20,Pac-Man
39,1,1,Pac-Man
235,0,0,Pac-Man
31,0,0,Pac-Man
2170,0,4,Pac-Man
74,5,70,Pac-Man
65,0,0,Pac-Man
36,0,1,Pac-Man
48,0,11,Pac-Man
73,2,2,Pac-Man
167,4,0,Pac-Man
0,250,8,Bandai Namco
142,138,74,Bandai Namco
0,50,0,Bandai Namco
2,21,1,Bandai Namco
9,61,25,Bandai Namco
0,8,0,Bandai Namco
0,48,0,Bandai Namco
0,47,0,Bandai Namco
0,44,0,Bandai Namco
4,112,16,Bandai Namco
0,0,0,Bandai Namco
18,28,1,Bandai Namco
0,7,3,Bandai Namco
0,10,0,Bandai Namco
1,35,4,Bandai Namco
0,4,1,Bandai Namco
0,33,0,Bandai Namco
0,10,5,Bandai Namco
1,44,8,Bandai Namco
0,2,0,Bandai Namco
0,647,0,Bandai Namco
0,12,0,Bandai Namco
0,12,1,Bandai Namco
0,4,0,Bandai Namco
7,0,502,Video Games
0,0,40,Video Games
0,0,26,Video Games
8,8,160,Video Games
0,0,143,Video Games
0,0,303,Video Games
0,0,173,Video Games
0,0,122,Video Games
0,0,184,Video Games
0,0,52,Video Games
0,0,336,Video Games
0,0,30,Video Games
0,0,11,Video Games
0,0,31,Video Games
0,0,26,Video Games
2,0,30,Video Games
0,0,64,Video Games
0,0,13,Video Games
0,0,12,Video Games
0,0,8,Video Games
6,0,14,Video Games
0,0,4,Video Games
0,0,8,Video Games
0,0,78,Video Games
0,0,68,Video Games
0,2,157,Video Games
0,0,20,Video Games
0,1,153,Video Games
